pl_name,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,st_age,sy_dist
CoRoT-12 b,1,1,Transit,2010,CoRoT,2.828042,0.04016,16.14,291.438,6.3,1126.37
CoRoT-13 b,1,1,Transit,2010,CoRoT,4.03519,0.051,9.92,415.704,1.635,1148.93
CoRoT-14 b,1,1,Transit,2010,CoRoT,1.51214,0.027,12.22,2415.4,4.2,1744.6
CoRoT-16 b,1,1,Transit,2011,CoRoT,5.35227,0.0618,13.11,170.032,6.73,732.409
CoRoT-17 b,1,1,Transit,2011,CoRoT,3.7681,0.0461,11.43,772.29,10.7,1176.12
CoRoT-18 b,1,1,Transit,2011,CoRoT,1.9000693,0.0295,14.68,1102.82,0.032,764.889
CoRoT-19 b,1,1,Transit,2011,CoRoT,3.89713,0.0518,14.46,352.78,5,790.663
CoRoT-2 b,2,1,Transit,2008,CoRoT,1.7429935,0.02798,16.432,1102.82,2.7,213.283
CoRoT-20 b,1,2,Transit,2011,CoRoT,9.24285,0.09,9.416,1366.669,0.1,844.061
CoRoT-20 c,1,2,Radial Velocity,2018,Multiple Observatories,1675,2.9,12.2,5403.11,0.1,844.061
CoRoT-21 b,1,1,Transit,2012,CoRoT,2.72474,0.0417,14.572,718.2958,4.1,1398.834197
CoRoT-22 b,1,1,Transit,2014,CoRoT,9.75598,0.092,4.88,12.2,3.3,627.158
CoRoT-23 b,1,1,Transit,2011,CoRoT,3.6313,0.048,11.77,889.9,7.2,1060.97
CoRoT-24 b,1,2,Transit,2014,CoRoT,5.1134,0.056,3.7,5.7,11,591.555
CoRoT-24 c,1,2,Transit,2014,CoRoT,11.759,0.098,5,28,11,591.555
CoRoT-25 b,1,1,Transit,2013,CoRoT,4.86069,0.0578,12.11,85.81,4.5,1103.48
CoRoT-26 b,1,1,Transit,2013,CoRoT,4.20474,0.0526,14.12,165.26,8.6,1045.18
CoRoT-27 b,1,1,Transit,2014,CoRoT,3.57532,0.0476,11.287,3302.11,4.21,1010.28
CoRoT-28 b,1,1,Transit,2015,CoRoT,5.20851,0.0603,10.705,153.82972,12,766.183
CoRoT-29 b,1,1,Transit,2015,CoRoT,2.85057,0.0386,10.088,270.1555,4.5,806.507
CoRoT-3 b,1,1,Transit,2008,CoRoT,4.2568,0.05783,11.32,6883.91,2.2,768.771
CoRoT-30 b,1,1,Transit,2020,CoRoT,9.06005,0.0844,11.31,921.707,3,1032.23
CoRoT-31 b,1,1,Transit,2020,CoRoT,4.62941,0.0586,16.365,266.9772,4.7,2005.76
CoRoT-35 b,1,1,Transit,2022,CoRoT,3.22748,0.0429,18.831,349.61125,6.1,1123.21
CoRoT-36 b,1,1,Transit,2022,CoRoT,5.616531,0.066,15.805,216.12332,2.1,925.958
CoRoT-4 b,1,1,Transit,2008,CoRoT,9.20205,0.09,13.34,228.83,1,726.412
CoRoT-5 b,1,1,Transit,2009,CoRoT,4.0378962,0.04947,15.558,148.42,6.9,882.472
CoRoT-6 b,1,1,Transit,2009,CoRoT,8.886593,0.0855,13.068,940.74,2.5,645.294
CoRoT-7 b,1,3,Transit,2009,CoRoT,0.85359163,0.017016,1.681,4.07661,1.8,159.906
CoRoT-7 c,1,3,Radial Velocity,2009,CoRoT,3.698,0.046,2.83,8.4,1.8,159.906
CoRoT-7 d,1,3,Radial Velocity,2022,La Silla Observatory,8.966,,4.31,17.142,1.8,159.906
CoRoT-8 b,1,1,Transit,2010,CoRoT,6.21229,0.063,6.39,69.92,3,322.037
CoRoT-9 b,2,1,Transit,2009,CoRoT,95.272656,0.4021,11.949,266.9772,6,412.98
CoRoTID 223977153 b,1,1,Transit,2017,CoRoT,6.71837,0.071,6.389,47.6745,,576.683
