Date Reported,Date Occurred,Time Occurred,Area Name,MO Codes,Victim Age,Victim Sex,Victim Descent,Premise Description,Address,Cross Street,Location
06/16/2019,06/16/2019,50,Mission,3008 3027 3029 3037 3101 3401 3701 4026,41,M,H,STREET,DE GARMO                     AV,TYLER                        ST,"(34.309, -118.4547)"
06/16/2019,06/16/2019,535,Devonshire,1402 3004 3027 3029 3036 3101 3401 3701 4026 3034,48,M,H,STREET,HASKELL                      AV,PARTHENIA                    ST,"(34.2283, -118.4764)"
06/17/2019,06/17/2019,530,N Hollywood,3003 3027 3029 3036 3101 3401 3701 4026,91,M,O,STREET,MAGNOLIA                     BL,WILKINSON                    AV,"(34.1649, -118.4041)"
06/19/2019,06/18/2019,2150,Foothill,3003 3027 3037 3101 3401 3701 4026 1218,61,F,H,STREET,LAUREL CANYON                BL,GAGER                        ST,"(34.2551, -118.4282)"
06/23/2019,06/21/2019,2115,Foothill,3003 3036 3101 3401 3701 4026 3027,67,F,H,STREET,FOOTHILL                     BL,APPERSON                     ST,"(34.256, -118.2995)"
06/24/2019,06/23/2019,1815,77th Street,3601 4025 3037 3006 3027 3101 3015 3602,28,M,B,STREET,59TH                         ST,CRENSHAW                     BL,"(33.9872, -118.3308)"
06/25/2019,06/25/2019,1150,Newton,3101 3401 3701 3003 3036 3027 1218,30,M,H,STREET,SAN PEDRO                    ST,36TH                         ST,"(34.0138, -118.2663)"
07/11/2019,06/29/2019,1000,Central,3101 3401 3701 3003 3027,70,M,H,STREET,CENTRAL                      AV,INDUSTRIAL                   ST,"(34.0374, -118.2406)"
06/29/2019,06/29/2019,1110,77th Street,4025 3037 3004 3027 3101 3601,51,M,B,STREET,FLORENCE                     AV,GRAMERCY                     PL,"(33.9746, -118.3134)"
07/03/2019,07/03/2019,505,Southeast,3011 4025 3037 3027 3038 3101,44,F,B,SIDEWALK,MAIN                         ST,87TH                         PL,"(33.9581, -118.2739)"
